Model,File Name,n,reference,Units,type,quality.rating,set,select,bgcpaper,tmp,enaR,in.Ulanowicz,in.50set
''Okefenokee Swamp'',''okefenokee_26tro.dat'',26,''\citet{whipple93}'',''g dw m$^{-2}$ y$^{-1}$ '',TRO,,,,1,,1,0,0
''Okefenokee Water Budget'',''okefenokee_water.dat'',4,''\citet{patten82}'',,HYD,,,,,,0,,
''Oyster Reef '',''oyster.dat'',6,'' \citet{dame81}'',''kcal m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Peruvian Upwelling'',''Peruvian_Upwelling.dat'',16,'' \citet{baird91}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Pine Forest N'',''pine_forest_N.dat'',6,''unpublished - email sent to McLeod @ SREL'',,BGC,,,1,0,0,0,,
''Puerto Rican Rain Forest (Ca)'',''Puerto_Rican_Rain_Forest_Ca.dat'',4,''\citet{jordan72}'',''kg Ca Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,1,
''Puerto Rican Rain Forest (Cu)'',''Puerto_Rican_Rain_Forest_Cu.dat'',4,''\citet{jordan72}'',''kg Cu Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Puerto Rican Rain Forest (Fe)'',''Puerto_Rican_Rain_Forest_Fe.dat'',4,''\citet{jordan72}'',''kg Fe Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Puerto Rican Rain Forest (K)'',''Puerto_Rican_Rain_Forest_K.dat'',4,''\citet{jordan72}'',''kg K Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Puerto Rican Rain Forest (Mg)'',''Puerto_Rican_Rain_Forest_Mg.dat'',4,''\citet{jordan72}'',''kg Mg Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Puerto Rican Rain Forest (Mn)'',''Puerto_Rican_Rain_Forest_Mn.dat'',4,''\citet{jordan72}'',''kg Mn Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,1,
''Puerto Rican Rain Forest (Na)'',''Puerto_Rican_Rain_Forest_Na.dat'',4,''\citet{jordan72}'',''kg Na Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Puerto Rican Rain Forest (Sr)'',''Puerto_Rican_Rain_Forest_Sr.dat'',4,''\citet{jordan72}'',''kg Sr Ha$^{-1}$  yr$^{-1}$'',BGC,,,1,1,1,1,0,
''Rhode Island Watershed'',''rhode_watershed.dat'',17,,,HYD,,,,,,,,
''Silver Springs'',''silver_springs.dat'',5,'' \citet{odum57}'',''kcal m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,1,1
''Southern Benguela Upwelling'',''s_benguela.dat'',16,''\citet{baird91}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Southern New England Bight'',''SNE-EMAX2006.dat'',33,'' \citet{link08}'',''g ww m$^{-2}$ yr$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''St. Marks Seagrass, site 1 (Feb.)''",''stmarks_feb1.dat'',51,'' \citet{baird98}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''St. Marks Seagrass, site 1 (Jan.)''",''stmarks_jan1.dat'',51,'' \citet{baird98}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''St. Marks Seagrass, site 2 (Feb.)''",''stmarks_feb2.dat'',51,'' \citet{baird98}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''St. Marks Seagrass, site 2 (Jan.)''",''stmarks_jan2.dat'',51,'' \citet{baird98}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''St. Marks Seagrass, site 3 (Jan.)''",''stmarks_jan3.dat'',51,''\citet{baird98}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
"''St. Marks Seagrass, site 4 (Feb.)''",''stmarks_feb4.dat'',51,'' \citet{baird98}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,1,1,1,1,0,1
''Sundarban Mangrove (reclaimed)'',''sundarban_mangrove_reclaimed.dat'',14,''\citet{ray08}'',''kcal m$^{-2}$ yr$^{-1}$ '',TRO,,2,1,1,1,1,1,0
''Sundarban Mangrove (virgin)'',''sundarban_mangrove_virgin.dat'',14,''\citet{ray08}'',''kcal m$^{-2}$ yr$^{-1}$ '',TRO,,2,1,1,1,1,1,0
''Sunday Estuary'',''Sunday_estuary_25n.dat'',25,''\citet{scharler05}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,2,1,1,1,1,0,0
''Swartkops Estuary'',''Swartkops_25n.dat'',25,''\citet{scharler05}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,2,1,1,1,1,0,0
''Swartkops Estuary  15'',''Swartkops_Estuary.dat'',15,''  \citet{baird91}'',''mg C m$^{-2}$ d$^{-1}$ '',TRO,,1,0,0,1,1,0,1
